STATEFP,COUNTYFP,GEOID,ALAND,AWATER
31,039,31039,1477652222,10690952
53,069,53069,680956809,61588406
35,011,35011,6016819484,29089486
31,109,31109,2169287528,22832516
31,129,31129,1489645187,1718484
46,099,46099,2089691730,18198496
48,327,48327,2336237985,613559
06,091,06091,2468694587,23299110
21,053,21053,510875184,21153253
39,063,39063,1376094842,6075215
48,189,48189,2602109438,246678
01,027,01027,1564251835,5285207
48,011,48011,2354581675,12219583
39,003,39003,1042479885,11259523
13,189,13189,666848710,23114025
55,111,55111,2153686396,45692629
05,137,05137,1570579417,7841927
41,063,41063,8147835370,14191752
42,007,42007,1125904407,24162728
28,061,28061,1751451435,3181592
29,083,29083,1805075851,91636438
08,109,08109,8206547694,4454510
37,037,37037,1765640373,70634835
49,033,49033,2664700964,149106532
40,001,40001,1485822410,8737302
39,085,39085,593807216,1942301618
51,775,51775,37600652,277514
51,121,51121,1001920426,6290938
47,065,47065,1404654388,86645833
35,035,35035,17126456771,36943378
35,003,35003,17933557078,14197373
01,091,01091,2530140238,14966620
56,023,56023,10555073745,49947393
29,011,29011,1533351030,12152201
48,057,48057,1312707008,1361884769
51,735,51735,39837347,163456081
54,075,54075,2435361700,3939156
48,077,48077,2819870070,72508632
51,095,51095,368724589,95245989
31,101,31101,2749531885,124672175
31,137,31137,1398048574,1646533
22,019,22019,2756510262,77637930
22,111,22111,2271359842,73624033
40,135,40135,1743779418,105832795
01,049,01049,2012676479,4121543
36,101,36101,3601504766,35055664
42,053,42053,1106623929,8356609
22,105,22105,2049488101,136678798
51,179,51179,697237202,28088012
26,109,26109,2704053271,761798741
18,073,18073,1449421161,4571245
13,025,13025,1147397684,10849168
13,171,13171,475264444,6044328
18,151,18151,799729302,35454787
48,361,48361,864489137,118488361
39,047,39047,1052469899,1694038
25,015,25015,1365526541,46674748
21,003,21003,891838100,19482791
37,001,37001,1096684439,27992169
20,073,20073,2961143633,24145021
25,025,25025,150855103,160514584
16,051,16051,2832617275,31168374
48,177,48177,2762704863,8204087
47,115,47115,1290468301,36484703
26,007,26007,1481123844,2908714541
21,231,21231,1186690636,67283902
47,185,47185,975592113,7113369
48,147,48147,2307250914,20847064
20,043,20043,1019105692,12424173
48,265,48265,2857601859,10247474
12,053,12053,1224485109,301068594
12,129,12129,1570616088,334902007
12,131,12131,2687739968,522795375
28,017,28017,1299609262,6380767
02,130,02130,12579243763,4651750442
26,035,26035,1461700230,28500463
20,157,20157,1857998461,7951912
12,127,12127,2852206495,857789601
40,017,40017,2322292275,23202736
13,115,13115,1320434486,22384089
32,001,32001,12770128155,242405502
31,181,31181,1489017963,337241
17,067,17067,2055722033,53564033
46,067,46067,2105694681,3644221
41,013,41013,7715303368,21091928
50,011,50011,1642360202,150203866
26,103,26103,4685391001,4185367735
09,007,09007,956493754,180679140
37,057,37057,1432711784,37452229
17,025,17025,1212815749,3271820
29,103,29103,1305376626,7307094
29,117,29117,1378644691,16200765
42,117,42117,2936458654,8267710
31,043,31043,684422627,8193327
26,089,26089,899243343,5659103852
51,181,51181,722475750,81216905
48,391,48391,1995545559,123687613
39,017,39017,1208541665,8820581
13,273,13273,869559691,5087422
13,063,13063,366930141,6989148
56,013,56013,23785388824,212768588
18,115,18115,223126823,3352207
13,073,13073,751293212,45394052
08,115,08115,1419419130,3530746
30,065,30065,4840577748,7118682
42,043,42043,1359501931,86167330
46,101,46101,1345196857,3679400
54,079,54079,895302729,12226547
34,037,34037,1343479727,43307978
20,039,20039,2314199316,1631670
18,123,18123,988699435,11786862
28,145,28145,1076417882,3369003
31,015,31015,1398424239,11893557
27,095,27095,1482415014,282932659
38,099,38099,3319506407,32184273
39,115,39115,1078538292,13868572
39,133,39133,1262370045,43127736
56,041,56041,5391631764,16625817
32,013,32013,24969533292,44196978
48,247,48247,2942674729,92565
08,017,08017,4605713965,8166129
41,005,41005,4845034547,31873103
05,113,05113,2221382790,12372287
13,193,13193,1037709939,13841916
18,007,18007,1052616452,236033
47,129,47129,1352439680,823018
46,043,46043,1118358766,4832944
24,047,24047,1212861863,586815923
17,185,17185,578264185,10973558
18,069,18069,991057047,13133344
21,209,21209,729768176,9447095
19,053,19053,1377567269,4140764
18,169,18169,1068458874,21863329
18,003,18003,1702451607,7002354
18,099,18099,1148969982,15858580
31,171,31171,1846403705,2028433
38,085,38085,2833690982,88449892
48,127,48127,3441795368,14576536
27,045,27045,2230746819,2055506
45,023,45023,1503893314,14261785
27,073,27073,1981394517,33643134
49,005,49005,3016638905,21097697
55,093,55093,1486272236,46679668
13,049,13049,2020415648,5963237
13,233,13233,803751986,4688356
17,113,17113,3064559693,7853695
23,001,23001,1211956216,75580882
16,055,16055,3205833878,184447536
32,003,32003,20439281456,438411489
20,147,20147,2294395639,22493383
31,089,31089,6248078944,13204318
29,101,29101,2147770686,10185875
55,063,55063,1170076691,73110106
22,021,22021,1371231229,29249902
21,061,21061,784468300,13258105
17,005,17005,985073312,6462629
17,009,17009,791704469,4139310
27,085,27085,1272941861,36368633
55,033,55033,2201905274,35570213
