STATEFP,pop
06,39148760
48,27885195
12,20598139
36,19618453
17,12821497
42,12791181
39,11641879
13,10297484
37,10155624
26,9957488
34,8881845
51,8413774
53,7294336
04,6946685
25,6830193
47,6651089
18,6637426
29,6090062
24,6003435
55,5778394
08,5531141
27,5527358
45,4955925
01,4864680
22,4663616
21,4440204
41,4081943
40,3918137
09,3581504
72,3386941
19,3132499
49,3045350
05,2990671
28,2988762
32,2922849
20,2908776
35,2092434
31,1904760
54,1829054
16,1687809
15,1422029
33,1343622
23,1332813
44,1056611
30,1041732
10,949495
46,864289
38,752201
02,738516
11,684498
50,624977
56,581836
